category,product_name,active_ingredients,strength,form,package,pharmacy,sku,wholesale_cost,retail_price,rx_required,tags,notes
Hormone Therapy,Testosterone,,7mg,troche,,V Pharm,TEST-7-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,7.5mg,troche,,V Pharm,TEST-7.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,8mg,troche,,V Pharm,TEST-8-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,8.5mg,troche,,V Pharm,TEST-8.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,9mg,troche,,V Pharm,TEST-9-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,9.5mg,troche,,V Pharm,TEST-9.5-TRO-VS,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,10mg,troche,,V Pharm,TESTTROCHE10BE,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,25mg,troche,,V Pharm,TESTTROCHE25BE,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,50mg,troche,,V Pharm,TESTTROCHE50BE,0.88,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,75mg,troche,,V Pharm,TESTTROCHE75BE,0.94,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,100mg,troche,,V Pharm,TESTTROCHE100BE,0.94,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,200mg,troche,,V Pharm,TESTTROCHE200BE,1.25,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,0.5MG/ML,cream,30mLTube,V Pharm,TESTOS0.5MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,1MG/ML,cream,30mLTube,V Pharm,TESTOS1MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,2MG/ML,cream,30mLTube,V Pharm,TESTOS2MGMLCREA,27.5,,yes,men's-sexual-health,
Hormone Therapy,Testosterone,,3MG/ML,cream,30mLTube,V Pharm,TESTOS3MGMLCREA,27.5,,yes,men's-sexual-health,
